run_id,resolution,training_method,optimizer,seed,clean_accuracy,adversarial_accuracy,robustness_gap,avg_epoch_time,total_time,timestamp
R32_pgd_adamw_s42,32,pgd,adamw,42,77.28,59.28,18.0,10.98,109.8,2026-03-04T18:46:28.448177
R64_pgd_adam_s42,64,pgd,adam,42,72.85,54.59,18.26,35.61,356.09,2026-03-04T18:52:40.766478
R32_pgd_adamw_s7,32,pgd,adamw,7,76.35,58.2,18.15,11.58,115.83,2026-03-04T18:54:47.782162
R96_pgd_adam_s42,96,pgd,adam,42,70.35,52.21,18.14,61.76,617.57,2026-03-04T19:05:29.048065
R32_fgsm_sgd_s42,32,fgsm,sgd,42,66.31,48.87,17.44,9.43,94.32,2026-03-04T19:07:12.911682
R96_pgd_adam_s123,96,pgd,adam,123,70.73,53.27,17.46,60.7,607.01,2026-03-04T19:17:42.788683
R64_standard_sgd_s7,64,standard,sgd,7,69.24,17.54,51.7,16.0,159.97,2026-03-04T19:20:38.770997
R64_fgsm_adamw_s7,64,fgsm,adamw,7,72.42,53.9,18.52,16.07,160.66,2026-03-04T19:23:35.631644
R64_fgsm_sgd_s123,64,fgsm,sgd,123,59.41,45.01,14.4,16.16,161.55,2026-03-04T19:26:33.262641
R96_standard_adamw_s42,96,standard,adamw,42,75.71,17.26,58.45,23.51,235.14,2026-03-04T19:30:51.895207
R32_standard_sgd_s123,32,standard,sgd,123,71.33,26.52,44.81,9.5,95.04,2026-03-04T19:32:36.975566
R32_fgsm_sgd_s7,32,fgsm,sgd,7,65.19,47.71,17.48,9.47,94.68,2026-03-04T19:34:21.242123
R64_fgsm_adamw_s42,64,fgsm,adamw,42,73.36,54.1,19.26,16.12,161.24,2026-03-04T19:37:18.500860
R32_standard_adamw_s7,32,standard,adamw,7,79.16,30.36,48.8,9.42,94.18,2026-03-04T19:39:02.256995
R32_pgd_adam_s7,32,pgd,adam,7,76.04,58.21,17.83,10.99,109.88,2026-03-04T19:41:01.724698
R64_pgd_sgd_s7,64,pgd,sgd,7,58.86,44.95,13.91,35.55,355.46,2026-03-04T19:47:13.371478
R96_fgsm_adamw_s42,96,fgsm,adamw,42,70.51,51.94,18.57,23.76,237.59,2026-03-04T19:51:34.148795
R64_fgsm_adam_s7,64,fgsm,adam,7,72.52,53.4,19.12,16.08,160.77,2026-03-04T19:54:31.425785
R32_fgsm_sgd_s123,32,fgsm,sgd,123,65.1,48.2,16.9,9.46,94.63,2026-03-04T19:56:15.608613
R64_standard_adamw_s123,64,standard,adamw,123,76.26,16.9,59.36,15.97,159.75,2026-03-04T19:59:11.379509
R96_standard_sgd_s7,96,standard,sgd,7,67.02,18.36,48.66,23.39,233.88,2026-03-04T20:03:28.453016
R32_fgsm_adam_s7,32,fgsm,adam,7,76.67,58.79,17.88,9.45,94.49,2026-03-04T20:05:12.588594
R96_fgsm_adam_s42,96,fgsm,adam,42,70.2,51.54,18.66,23.54,235.39,2026-03-04T20:09:31.118447
R96_standard_adam_s7,96,standard,adam,7,76.42,13.7,62.72,23.54,235.37,2026-03-04T20:13:49.860083
R96_fgsm_adam_s123,96,fgsm,adam,123,68.38,50.81,17.57,23.59,235.85,2026-03-04T20:18:08.910037
R32_standard_adamw_s123,32,standard,adamw,123,79.24,31.67,47.57,9.44,94.37,2026-03-04T20:19:52.884492
R96_fgsm_sgd_s42,96,fgsm,sgd,42,58.74,44.13,14.61,23.57,235.75,2026-03-04T20:24:11.783878
R64_pgd_adamw_s123,64,pgd,adamw,123,72.73,54.74,17.99,35.61,356.11,2026-03-04T20:30:23.882588
R32_standard_sgd_s7,32,standard,sgd,7,71.12,22.58,48.54,9.42,94.19,2026-03-04T20:32:07.763147
R64_pgd_adam_s7,64,pgd,adam,7,72.47,54.33,18.14,35.58,355.84,2026-03-04T20:38:19.615019
R96_pgd_sgd_s7,96,pgd,sgd,7,57.35,43.91,13.44,60.68,606.83,2026-03-04T20:48:49.627564
R96_pgd_adamw_s7,96,pgd,adamw,7,69.71,52.24,17.47,60.73,607.33,2026-03-04T20:59:20.047973
R32_fgsm_adamw_s42,32,fgsm,adamw,42,77.16,58.91,18.25,9.45,94.49,2026-03-04T21:01:04.106989
R96_standard_sgd_s123,96,standard,sgd,123,64.58,21.37,43.21,23.44,234.35,2026-03-04T21:05:21.534457
R64_standard_adam_s123,64,standard,adam,123,75.31,17.06,58.25,15.98,159.81,2026-03-04T21:08:17.425386
R96_pgd_sgd_s123,96,pgd,sgd,123,57.93,44.36,13.57,60.7,607.0,2026-03-04T21:18:47.951100
R32_pgd_adamw_s123,32,pgd,adamw,123,76.06,58.96,17.1,10.97,109.66,2026-03-04T21:20:47.284005
R96_pgd_adamw_s42,96,pgd,adamw,42,70.5,52.92,17.58,60.88,608.83,2026-03-04T21:31:19.384516
R32_standard_sgd_s42,32,standard,sgd,42,71.75,25.94,45.81,9.43,94.29,2026-03-04T21:33:03.329325
R96_fgsm_adamw_s7,96,fgsm,adamw,7,70.67,52.83,17.84,23.61,236.09,2026-03-04T21:37:22.592241
R32_standard_adam_s42,32,standard,adam,42,79.61,29.54,50.07,9.44,94.35,2026-03-04T21:39:07.007361
R32_fgsm_adamw_s123,32,fgsm,adamw,123,76.54,58.63,17.91,9.46,94.59,2026-03-04T21:40:51.166130
R96_pgd_adam_s7,96,pgd,adam,7,69.88,52.76,17.12,60.7,607.02,2026-03-04T21:51:21.385246
R64_standard_sgd_s123,64,standard,sgd,123,69.09,21.18,47.91,16.05,160.51,2026-03-04T21:54:17.882451
R96_standard_adam_s123,96,standard,adam,123,70.29,15.33,54.96,23.38,233.77,2026-03-04T21:58:34.885720
R96_pgd_adamw_s123,96,pgd,adamw,123,70.39,52.78,17.61,60.71,607.13,2026-03-04T22:09:05.097687
R32_fgsm_adam_s123,32,fgsm,adam,123,76.77,58.53,18.24,9.44,94.4,2026-03-04T22:10:49.028765
R64_fgsm_adam_s123,64,fgsm,adam,123,72.48,53.48,19.0,16.07,160.71,2026-03-04T22:13:45.768823
R64_fgsm_adam_s42,64,fgsm,adam,42,72.95,53.75,19.2,16.05,160.49,2026-03-04T22:16:42.789313
R32_pgd_sgd_s7,32,pgd,sgd,7,64.9,47.6,17.3,10.93,109.26,2026-03-04T22:18:41.657302
R96_fgsm_adamw_s123,96,fgsm,adamw,123,69.09,51.25,17.84,23.59,235.88,2026-03-04T22:23:00.737659
R32_pgd_adam_s123,32,pgd,adam,123,75.84,58.22,17.62,11.01,110.14,2026-03-04T22:25:00.482311
R96_pgd_sgd_s42,96,pgd,sgd,42,57.81,43.99,13.82,60.69,606.87,2026-03-04T22:35:31.060669
R64_standard_adamw_s7,64,standard,adamw,7,77.17,16.71,60.46,9.55,95.48,2026-03-04T22:44:23.599959
R64_standard_adam_s42,64,standard,adam,42,76.05,16.6,59.45,7.73,77.34,2026-03-04T22:45:49.436577
R32_pgd_adam_s42,32,pgd,adam,42,76.37,58.68,17.69,10.56,105.6,2026-03-04T22:47:40.752395
R64_fgsm_adamw_s123,64,fgsm,adamw,123,72.16,53.35,18.81,8.49,84.85,2026-03-04T22:49:14.220706
R96_standard_sgd_s42,96,standard,sgd,42,66.94,20.14,46.8,10.89,108.92,2026-03-04T22:51:15.144855
R96_standard_adam_s42,96,standard,adam,42,76.07,16.33,59.74,10.86,108.6,2026-03-04T22:53:15.861062
R32_standard_adam_s123,32,standard,adam,123,79.15,30.15,49.0,4.83,48.26,2026-03-04T22:54:09.718202
R64_pgd_sgd_s123,64,pgd,sgd,123,59.22,45.21,14.01,33.64,336.44,2026-03-04T22:59:54.761588
R32_standard_adamw_s42,32,standard,adamw,42,77.79,28.2,49.59,4.72,47.21,2026-03-04T23:00:47.611328
R32_pgd_sgd_s123,32,pgd,sgd,123,64.84,48.43,16.41,10.43,104.26,2026-03-04T23:02:37.492381
R32_pgd_sgd_s42,32,pgd,sgd,42,66.38,48.93,17.45,10.54,105.43,2026-03-04T23:04:28.680344
R64_standard_adam_s7,64,standard,adam,7,77.32,16.46,60.86,7.79,77.95,2026-03-04T23:05:55.404016
R32_fgsm_adam_s42,32,fgsm,adam,42,76.82,58.78,18.04,4.87,48.71,2026-03-04T23:06:49.899233
R96_fgsm_adam_s7,96,fgsm,adam,7,70.99,52.98,18.01,16.77,167.71,2026-03-04T23:09:49.784302
R64_fgsm_sgd_s42,64,fgsm,sgd,42,60.12,45.0,15.12,8.44,84.45,2026-03-04T23:11:23.027970
R32_fgsm_adamw_s7,32,fgsm,adamw,7,76.65,59.07,17.58,4.81,48.14,2026-03-04T23:12:16.768503
R96_fgsm_sgd_s123,96,fgsm,sgd,123,58.9,44.45,14.45,16.72,167.22,2026-03-04T23:15:16.098662
R64_standard_sgd_s42,64,standard,sgd,42,68.74,19.29,49.45,7.81,78.13,2026-03-04T23:16:42.795338
R64_pgd_sgd_s42,64,pgd,sgd,42,59.1,45.29,13.81,33.64,336.43,2026-03-04T23:22:27.822189
R96_standard_adamw_s123,96,standard,adamw,123,71.13,15.67,55.46,10.87,108.66,2026-03-04T23:24:28.585842
R64_fgsm_sgd_s7,64,fgsm,sgd,7,59.56,44.32,15.24,8.45,84.45,2026-03-04T23:26:01.749830
R64_pgd_adamw_s42,64,pgd,adamw,42,73.59,55.29,18.3,33.69,336.94,2026-03-04T23:31:47.198955
R96_standard_adamw_s7,96,standard,adamw,7,75.19,14.27,60.92,10.86,108.62,2026-03-04T23:33:48.007588
R96_fgsm_sgd_s7,96,fgsm,sgd,7,57.69,43.73,13.96,16.71,167.14,2026-03-04T23:36:47.419301
R64_standard_adamw_s42,64,standard,adamw,42,77.86,18.09,59.77,7.78,77.76,2026-03-04T23:38:13.708659
R32_standard_adam_s7,32,standard,adam,7,79.28,28.08,51.2,4.72,47.22,2026-03-04T23:39:06.570686
R64_pgd_adamw_s7,64,pgd,adamw,7,72.66,54.57,18.09,33.71,337.09,2026-03-04T23:44:52.306195
R64_pgd_adam_s123,64,pgd,adam,123,72.14,54.06,18.08,33.71,337.1,2026-03-04T23:50:38.255097
